1280,720,100.0,33.321666666666665
0.588080644607544,0.23238277435302734,-0.04204772785305977,-0.6538882851600647,-0.1772170066833496
0.5901245474815369,0.22350925207138062,-0.04497245326638222,-0.6895427703857422,-0.15120816230773926
0.592521607875824,0.2245224565267563,-0.04433223605155945,-0.6898456811904907,-0.15046262741088867
0.5950689315795898,0.22565898299217224,-0.04438573867082596,-0.690105676651001,-0.15055584907531738
0.5823688507080078,0.22221365571022034,-0.07438720017671585,-0.6826385855674744,-0.1566934585571289
0.5790033340454102,0.22280561923980713,-0.07377253472805023,-0.6834574937820435,-0.15760064125061035
0.5758955478668213,0.22360941767692566,-0.07414934039115906,-0.6845315098762512,-0.15712428092956543
0.5979747176170349,0.23697136342525482,-0.01299791969358921,-0.6613331437110901,-0.03661942481994629
0.5677036046981812,0.23628893494606018,-0.14908179640769958,-0.6385053396224976,-0.0764918327331543
0.5934380292892456,0.2512943744659424,-0.02602696791291237,-0.622175395488739,-0.1411135196685791
0.581737756729126,0.24992012977600098,-0.0656900554895401,-0.6134160757064819,-0.15079426765441895
0.6250431537628174,0.3120313882827759,0.11409438401460648,-0.4930270314216614,-0.031953610479831696
0.547696053981781,0.33706775307655334,-0.22883689403533936,-0.4397323429584503,-0.0680544376373291
0.6757648587226868,0.3229742646217346,0.25736767053604126,-0.4474428594112396,-0.23453879356384277
0.5161983370780945,0.37898963689804077,-0.3187999725341797,-0.3327363133430481,-0.25319719314575195
0.6252704858779907,0.29748421907424927,0.10864801704883575,-0.46837669610977173,-0.40436887741088867
0.5190879106521606,0.36033570766448975,-0.3060551583766937,-0.3360087275505066,-0.46337366104125977
0.6133724451065063,0.29671233892440796,0.05566736310720444,-0.45575350522994995,-0.43762826919555664
0.5186715126037598,0.3564760088920593,-0.291923463344574,-0.3317538797855377,-0.5086727142333984
0.6078269481658936,0.30060040950775146,0.009820910170674324,-0.4752058684825897,-0.42395663261413574
0.5235493779182434,0.34566712379455566,-0.27504763007164,-0.3511229455471039,-0.4937608242034912
